start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
513730,518740.0,En die op plek 3?,Robot,,,,3.0,13.0,3.0,,,,,,
518740,530043.0,,,,,,3.0,,,,,,,,check2?choice=3
530043,530661.0,Op plek 3 staat een man met weinig haar.,Human,3.0,0.1645899071491147,SUCCESS_LOW,3.0,13.0,3.0,13.0,,outer,,answer-description,
530661,538760.0,die man met baard?,Robot,,,,3.0,13.0,3.0,,,,,req-clar,
538760,547488.0,Ik heb dat niet goed gehoord,Robot,,,,3.0,13.0,3.0,,,,,,
547488,547498.0,Hij heeft een klein baardje.,Human,,,,3.0,13.0,3.0,,,,,answer,
547498,558273.0,"Ik snap het niet, bedoel je nu ja of nee?",Robot,,,,3.0,13.0,3.0,,,,,req-clar,
558273,558283.0,Nee.,Human,,,,3.0,13.0,3.0,,,,,clar-negative,
558283,558284.0,"Oke, we proberen het opnieuw",Robot,,,,3.0,13.0,3.0,,,,,ack,
558284,570938.0,Wie staat er bij jou op plek 3?,Robot,,,,3.0,13.0,3.0,,,,,,
570938,571404.0,Een man met een kalend voorhoofd.,Human,13.0,0.4992750790543114,SUCCESS_LOW,3.0,13.0,3.0,13.0,,outer,,answer-description,
571404,579610.0,die kale meneer?,Robot,,,,3.0,13.0,3.0,,,,,req-clar,
579610,579622.0,Ja.,Human,,,,3.0,13.0,3.0,,,,,clar-confirm,
579622,579623.0,"Oh, die staat bij mij op plek 1.",Robot,,,,3.0,13.0,3.0,13.0,13.0,outer,correct,ack-done,
579623,584236.0,"Oke, en plek 4?",Robot,,,,3.0,14.0,4.0,,,,,,
584236,594418.0,,,,,,3.0,,,,,,,,check3?choice=1
594418,594737.0,Op plek 4 staat een vrouw met Bob.,Human,1.0,0.314778732104248,SUCCESS_LOW,3.0,14.0,4.0,1.0,,inner,,answer-description,
594737,605668.0,die mevrouw met bob?,Robot,,,,3.0,14.0,4.0,,,,,req-clar,
605668,605681.0,Ja.,Human,,,,3.0,14.0,4.0,,,,,clar-confirm,
605681,605682.0,Bij mij staat die op plek 5.,Robot,,,,3.0,14.0,4.0,1.0,1.0,inner,correct,ack-done,
605682,609302.0,"Oke, en plek 5?",Robot,,,,3.0,15.0,5.0,,,,,,
609302,621018.0,,,,,,3.0,,,,,,,,check4?choice=5
621018,621701.0,Op plek 5 staat een kale man met baard.,Human,3.0,0.4084007904457549,SUCCESS_LOW,3.0,15.0,5.0,3.0,,inner,,answer-description,
621701,629746.0,die man met baard?,Robot,,,,3.0,15.0,5.0,,,,,req-clar,
629746,629759.0,Ja.,Human,,,,3.0,15.0,5.0,,,,,clar-confirm,
629759,629760.0,"die staat bij mij ergens anders, namelijk op plek 4. Dat gaat goed.",Robot,,,,3.0,15.0,5.0,3.0,3.0,inner,correct,ack-done; encourage,
629760,634622.0,Dit was het voor deze  ronde. Laten we naar de volgende ronde gaan. Druk maar op de knop Ga Door.,Robot,,,,3.0,,,,,,,,
634622,648286.0,,,,,,3.0,,,,,,,,check5?choice=4
648286,648287.0,Laten we verder gaan!,Robot,,,,4.0,,,,,,,,
648287,662753.0,Wie staat er bij jou op plek 1?,Robot,,,,4.0,16.0,1.0,,,,,,
662753,663179.0,Een oude man met bril.,Human,2.0,1.0,SUCCESS_HIGH,4.0,16.0,1.0,2.0,,inner,,answer-description,
663179,663180.0,"Oh, die staat bij mij op plek 2.",Robot,,,,4.0,16.0,1.0,2.0,2.0,inner,correct,ack-done,
663180,667725.0,"Oke, we gaan door met plek 2.",Robot,,,,4.0,17.0,2.0,,,,,,
667725,679653.0,,,,,,4.0,,,,,,,,check1?choice=2
679653,680416.0,Op plek 2 staat een vrouw met kort bruin haar.,Human,22.0,0.0864223918974183,MATCH_MULTIPLE,4.0,17.0,2.0,22.0,,outer,,answer-description,
680416,688356.0,die vrouw met donker haar?,Robot,,,,4.0,17.0,2.0,,,,,req-clar,
688356,688367.0,Ja!,Human,22.0,1.0,SUCCESS_HIGH,4.0,17.0,2.0,22.0,,outer,,clar-confirm,
688367,688368.0,"die staat bij mij ergens anders, namelijk op plek 5.",Robot,,,,4.0,17.0,2.0,22.0,22.0,outer,correct,ack-done,
688368,693161.0,En de figuur op plek 3?,Robot,,,,4.0,18.0,3.0,,,,,,
693161,703082.0,,,,,,4.0,,,,,,,,check2?choice=5
703082,703365.0,Een kale man met baard.,Human,3.0,0.7749113143957032,SUCCESS_HIGH,4.0,18.0,3.0,3.0,,inner,,answer-description,
703365,703366.0,Bij mij staat die op plek 1.,Robot,,,,4.0,18.0,3.0,3.0,3.0,inner,correct,ack-done,
703366,707398.0,"Oke, we gaan door met plek 4.",Robot,,,,4.0,19.0,4.0,,,,,,
707398,718032.0,,,,,,4.0,,,,,,,,check3?choice=1
718032,718505.0,Op plek 4 staat een man met donker haar.,Human,37.0,1.0,MATCH_MULTIPLE,4.0,19.0,4.0,37.0,,outer,,answer-description,
718505,724569.0,die meneer?,Robot,,,,4.0,19.0,4.0,,,,,req-clar,
724569,724583.0,Ja.,Human,37.0,1.0,SUCCESS_HIGH,4.0,19.0,4.0,37.0,,outer,,clar-confirm,
724583,724584.0,"Oh ja, die staat bij mij op dezelfde plek.",Robot,,,,4.0,19.0,4.0,37.0,37.0,outer,correct,ack-done,
724584,730346.0,"Oké, en die op plek 5?",Robot,,,,4.0,20.0,5.0,,,,,,
730346,739452.0,,,,,,4.0,,,,,,,,check4?choice=4
739452,739776.0,Op plek vijf staat een vrouw met Bob.,Human,1.0,0.5473808068862244,SUCCESS_LOW,4.0,20.0,5.0,1.0,,inner,,answer-description,
739776,748096.0,die mevrouw met bob?,Robot,,,,4.0,20.0,5.0,,,,,req-clar,
748096,748106.0,Ja.,Human,,,,4.0,20.0,5.0,,,,,clar-confirm,
748106,748107.0,Bij mij staat die op plek 3. Je doet het goed.,Robot,,,,4.0,20.0,5.0,1.0,1.0,inner,correct,ack-done; encourage,
748107,752865.0,Oke. We gaan door naar de volgende ronde. Druk maar weer op de knop Ga Door.,Robot,,,,4.0,,,,,,,,
752865,763414.0,,,,,,4.0,,,,,,,,check5?choice=3
763414,763415.0,Laten we verder gaan!,Robot,,,,5.0,,,,,,,,
763415,776833.0,Wie staat er bij jou op plek 1?,Robot,,,,5.0,21.0,1.0,,,,,,
776833,777286.0,Een vrouw met krullen.,Human,1.0,8.446973317477163e-05,MATCH_MULTIPLE,5.0,21.0,1.0,17.0,,outer,,answer-description,
777286,787590.0,die mevrouw met stijl haar?,Robot,,,,5.0,21.0,1.0,,,,,req-clar,
787590,787601.0,"Nee, ze heeft slag.",Human,0.0,1.0,NEG_RESPONSE,5.0,21.0,1.0,17.0,,outer,,clar-negative,
787601,798945.0,"Oke, kun je het op een andere manier omschrijven?",Robot,,,,5.0,21.0,1.0,,,,,req-clar,
798945,799205.0,De vrouw heeft kort bruin haar.,Human,17.0,0.3633483143009566,SUCCESS_LOW,5.0,21.0,1.0,17.0,,outer,,clar-repair,
799205,807564.0,die mevrouw met donkerblond haar?,Robot,,,,5.0,21.0,1.0,,,,,req-clar,
807564,807751.0,Ja.,Human,,,,5.0,21.0,1.0,,,,,clar-confirm,
807751,807753.0,"Ja, die staat bij mij op dezelfde plek.",Robot,,,,5.0,21.0,1.0,17.0,17.0,outer,correct,ack-done,
807753,812561.0,"Oke, we gaan door met plek 2.",Robot,,,,5.0,22.0,2.0,,,,,,
812561,824622.0,,,,,,5.0,,,,,,,,check1?choice=1
824622,824921.0,Op plek 2 staat een kale man.,Human,3.0,0.4935911939359338,SUCCESS_LOW,5.0,22.0,2.0,3.0,,inner,,answer-description,
824921,831322.0,die man met baard?,Robot,,,,5.0,22.0,2.0,,,,,req-clar,
831322,831332.0,Ja.,Human,,,,5.0,22.0,2.0,,,,,clar-confirm,
831332,831333.0,Bij mij staat die op plek 4.,Robot,,,,5.0,22.0,2.0,3.0,3.0,inner,correct,ack-done,
831333,835448.0,En die op plek 3?,Robot,,,,5.0,23.0,3.0,,,,,,
835448,846174.0,,,,,,5.0,,,,,,,,check2?choice=4
846174,847003.0,Op plek 3 staat een jongeman met bril.,Human,1.0,0.0,MATCH_MULTIPLE,5.0,23.0,3.0,41.0,,outer,,answer-description,
847003,855162.0,die mevrouw?,Robot,,,,5.0,23.0,3.0,,,,,req-clar,
855162,855174.0,"Nee, een man met bril.",Human,0.0,1.0,NEG_RESPONSE,5.0,23.0,3.0,41.0,,outer,,clar-negative,
855174,867963.0,"Oke, kun je het op een andere manier omschrijven?",Robot,,,,5.0,23.0,3.0,,,,,req-clar,
867963,868250.0,Op plek 3 staat een man met krullen.,Human,2.0,0.3333947011925636,SUCCESS_LOW,5.0,23.0,3.0,41.0,,outer,,clar-repair,
868250,876905.0,die oude man?,Robot,,,,5.0,23.0,3.0,,,,,req-clar,
876905,876921.0,"Nee, het is een jongeman met een bril.",Human,,,,5.0,23.0,3.0,,,,,clar-negative,
876921,876921.0,"Oke, we proberen het opnieuw",Robot,,,,5.0,23.0,3.0,,,,,ack,
876921,889796.0,Wie staat er bij jou op plek 3?,Robot,,,,5.0,23.0,3.0,,,,,,
889796,890086.0,Op plek 3 staat een man met bruin haar.,Human,41.0,0.3945032433305828,SUCCESS_LOW,5.0,23.0,3.0,41.0,,outer,,answer-description,
890086,898434.0,die meneer met bril?,Robot,,,,5.0,23.0,3.0,,,,,req-clar,
898434,898445.0,Ja.,Human,,,,5.0,23.0,3.0,,,,,clar-confirm,
898445,898446.0,"Oh ja, die staat bij mij ook op plek 3.",Robot,,,,5.0,23.0,3.0,41.0,41.0,outer,correct,ack-done,
898446,903648.0,En die op plek 4?,Robot,,,,5.0,24.0,4.0,,,,,,
903648,913839.0,,,,,,5.0,,,,,,,,check3?choice=3
913839,914157.0,Op plek 4 staat een oude man met bril.,Human,2.0,0.4246516815936655,SUCCESS_LOW,5.0,24.0,4.0,2.0,,inner,,answer-description,
914157,920714.0,die oude meneer?,Robot,,,,5.0,24.0,4.0,,,,,req-clar,
920714,920724.0,Ja.,Human,,,,5.0,24.0,4.0,,,,,clar-confirm,
920724,920725.0,"die staat bij mij ergens anders, namelijk op plek 2.",Robot,,,,5.0,24.0,4.0,2.0,2.0,inner,correct,ack-done,
920725,926303.0,En de figuur op plek 5?,Robot,,,,5.0,25.0,5.0,,,,,,
926303,937438.0,,,,,,5.0,,,,,,,,check4?choice=2
937438,937944.0,Op plek vijf staat een vrouw met Bob.,Human,1.0,0.4521513782239928,SUCCESS_LOW,5.0,25.0,5.0,1.0,,inner,,answer-description,
937944,945995.0,die mevrouw met oorbellen?,Robot,,,,5.0,25.0,5.0,,,,,req-clar,
945995,946006.0,Ja.,Human,,,,5.0,25.0,5.0,,,,,clar-confirm,
946006,946007.0,die staat bij mij ook op die plek.,Robot,,,,5.0,25.0,5.0,1.0,1.0,inner,correct,ack-done,
946007,950547.0,Dit was het voor deze  ronde. Laten we naar de volgende ronde gaan. Druk maar op de knop Ga Door.,Robot,,,,5.0,,,,,,,,
950547,960664.0,,,,,,5.0,,,,,,,,check5?choice=5
960664,960665.0,Laten we verder gaan!,Robot,,,,6.0,,,,,,,,
960665,974741.0,Wie staat er bij jou op plek 1?,Robot,,,,6.0,26.0,1.0,,,,,,
974741,975220.0,Een vrouw met kort bruin haar.,Human,16.0,0.3540136531445104,SUCCESS_LOW,6.0,26.0,1.0,16.0,,outer,,answer-description,
975220,985794.0,die mevrouw met lang haar?,Robot,,,,6.0,26.0,1.0,,,,,req-clar,
985794,985804.0,"Nee, ze heeft kort haar.",Human,,,,6.0,26.0,1.0,,,,,clar-negative,
985804,985805.0,"Oke, we proberen het opnieuw",Robot,,,,6.0,26.0,1.0,,,,,ack,
985805,999023.0,Wie staat er bij jou op plek 1?,Robot,,,,6.0,26.0,1.0,,,,,,
999023,999286.0,Een vrouw met kort bruin haar.,Human,35.0,0.0010059876819996,MATCH_MULTIPLE,6.0,26.0,1.0,16.0,,outer,,answer-description,
999286,1012024.0,die meneer met kuif?,Robot,,,,6.0,26.0,1.0,,,,,req-clar,
1012024,1012036.0,"Nee, een vrouw met bruin haar.",Human,0.0,1.0,NEG_RESPONSE,6.0,26.0,1.0,16.0,,outer,,clar-negative,
1012036,1025260.0,"Oke, kun je het op een andere manier omschrijven?",Robot,,,,6.0,26.0,1.0,,,,,req-clar,
1025260,1025697.0,De vrouw heeft bruin golvend haar.,Human,1.0,0.6203578320578357,SUCCESS_HIGH,6.0,26.0,1.0,16.0,,outer,,clar-repair,
1025697,1025698.0,"He, die staat bij mij ook op die plek.",Robot,,,,6.0,26.0,1.0,16.0,1.0,outer,incorrect,ack-done,
1025698,1030299.0,"Oke, en plek 2?",Robot,,,,6.0,27.0,2.0,,,,,,
1030299,1040198.0,,,,,,6.0,,,,,,,,check1?choice=1
1040198,1040649.0,Op plek 2 staat een kale man.,Human,3.0,0.6021048075227492,SUCCESS_HIGH,6.0,27.0,2.0,3.0,,inner,,answer-description,
1040649,1040651.0,"Oh ja, die staat bij mij ook op plek 2.",Robot,,,,6.0,27.0,2.0,3.0,3.0,inner,correct,ack-done,
1040651,1045556.0,"Oké, en die op plek 3?",Robot,,,,6.0,28.0,3.0,,,,,,
1045556,1055407.0,,,,,,6.0,,,,,,,,check2?choice=2
1055407,1055941.0,Op plek 3 staat een vrouw met Bob.,Human,16.0,0.2192650801927421,SUCCESS_LOW,6.0,28.0,3.0,1.0,,inner,,answer-description,
1055941,1066131.0,die mevrouw met bruin haar?,Robot,,,,6.0,28.0,3.0,,,,,req-clar,
1066131,1066141.0,"Nee, blonde bob.",Human,,,,6.0,28.0,3.0,,,,,clar-negative,
1066141,1066142.0,"Oke, we proberen het opnieuw",Robot,,,,6.0,28.0,3.0,,,,,ack,
1066142,1078865.0,Wie staat er bij jou op plek 3?,Robot,,,,6.0,28.0,3.0,,,,,,
1078865,1079152.0,Een vrouw met oorbellen.,Human,1.0,0.6198205960443735,MATCH_PREVIOUS,6.0,28.0,3.0,1.0,,inner,,answer-description,
1079152,1093618.0,"Wacht even, volgens mij hebben we deze al gehad. Wil je het  nog  een keer omschrijven?",Robot,,,,6.0,28.0,3.0,,,,,req-clar,
1093618,1093873.0,Een vrouw met bob en oorbellen.,Human,0.0,1.0,NO_MATCH,6.0,28.0,3.0,1.0,,inner,,clar-repair,
1093873,1108603.0,"Sorry, ik heb je niet zo goed begrepen. Kan je het herhalen?",Robot,,,,6.0,28.0,3.0,,,,,req-repeat,
1108603,1109092.0,Op plek 3 staat een vrouw met een korte bob en oorbellen.,Human,1.0,0.1710115000319266,MATCH_PREVIOUS,6.0,28.0,3.0,1.0,,inner,,clar-repeat,
1109092,1109093.0,"Sorry, ik denk dat ik deze niet kan vinden. Laten we deze plek overslaan en doorgaan naar de volgende. Vul op de  theblet maar in, niet gevonden.",Robot,,,,6.0,28.0,3.0,1.0,1.0,inner,correct,nack,
1109093,1118023.0,En die op plek 4?,Robot,,,,6.0,29.0,4.0,,,,,,
1118023,1133429.0,,,,,,6.0,,,,,,,,check3?choice=0
1133429,1134092.0,Op plek 4 staat een man met donker haar en bril.,Human,2.0,0.0811508854855262,SUCCESS_LOW,6.0,29.0,4.0,35.0,,outer,,answer-description,
1134092,1144242.0,die meneer met grijs haar?,Robot,,,,6.0,29.0,4.0,,,,,req-clar,
1144242,1144255.0,"Nee, deze man heeft bruin haar.",Human,,,,6.0,29.0,4.0,,,,,clar-negative,
1144255,1144256.0,"Oke, we proberen het opnieuw",Robot,,,,6.0,29.0,4.0,,,,,ack,
1144256,1159090.0,Wie staat er bij jou op plek 4?,Robot,,,,6.0,29.0,4.0,,,,,,
1159090,1159579.0,Op plek 4 staat een man met kort bruin haar en een bril.,Human,35.0,0.1005776968055137,SUCCESS_LOW,6.0,29.0,4.0,35.0,,outer,,answer-description,
1159579,1167738.0,die man met kuif?,Robot,,,,6.0,29.0,4.0,,,,,req-clar,
1167738,1167876.0,Ja.,Human,,,,6.0,29.0,4.0,,,,,clar-confirm,
1167876,1167878.0,Bij mij staat die op plek 5. Je doet het goed.,Robot,,,,6.0,29.0,4.0,35.0,35.0,outer,correct,ack-done; encourage,
1167878,1173250.0,"Oké, en die op plek 5?",Robot,,,,6.0,30.0,5.0,,,,,,
1173250,1186736.0,,,,,,6.0,,,,,,,,check4?choice=5
1186736,1187304.0,Op plek 5 staat een man met grijs haar en een bril.,Human,2.0,0.2969912958166655,SUCCESS_LOW,6.0,30.0,5.0,2.0,,inner,,answer-description,
1187304,1195360.0,die meneer met grijs haar?,Robot,,,,6.0,30.0,5.0,,,,,req-clar,
1195360,1195389.0,Ja.,Human,,,,6.0,30.0,5.0,,,,,clar-confirm,
1195389,1195390.0,"Oh, die staat bij mij op plek 3. Goed gedaan.",Robot,,,,6.0,30.0,5.0,2.0,2.0,inner,correct,ack-done; encourage,
1195390,1200994.0,"[NAME], dit was de laatste ronde. Het spelletje is klaar voor vandaag. Net als vorige week komen er eerst nog wat vragen.",Robot,,,,6.0,,,,,,,,
1200994,1378592.0,,,,,,6.0,,,,,,,,check5?choice=3
1378592,1402692.0,Dankjewel voor het invullen van de vragenlijst! Even een gekke vraag nog: wat lijkt jou nou een leuke plek om mij  eens te zien? Op de maan? In de disco? Of in de woestijn.,Robot,,,,6.0,,,,,,,,
1402692,1402851.0,In de disco.,Human,,,,6.0,,,,,,,,
1402851,1526503.0,Leuk antwoord. Ik zie je graag volgende week weer te rug voor de derde en laatste keer. Tot dan.,Robot,,,,6.0,,,,,,,,
1526503,1526615.0,"Ja, toppie. Dankjewel. Ja, dankjewel. Ja, dat is trouwens wel waar. Ik heb nu tegen meerdere mensen gezegd dat we hier over twee weken klaar zijn en dat ze dan de debriefing krijgen. Ja, nou ja, we kunnen in deze, die debriefing over twee jaar houden, daar had ik ook over nagedacht. Want de mensen die komen toevoegen kennen deze mensen niet. Dat is waar. Ze hebben een totaal verschillende tippen. Dat is wel waar, ja. Ja, ik snap het, zou ik ook kiezen. Dat vind ik het leukste.",Human,,,,6.0,,,,,,,,
1526615,,Tot ziens!,Robot,,,,6.0,,,,,,,,
